Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17202-6733,RB,Jonathan,,Stewart,10.65555573,9,6500,SD@CAR,CAR,SD,,
17202-33465,RB,Theo,,Riddick,13.53000031,10,6300,CHI@DET,DET,CHI,,
17202-8052,RB,Rashad,,Jennings,10.12222205,9,6100,DAL@NYG,NYG,DAL,,
17202-54608,RB,Jerick,,McKinnon,6.354545593,11,6000,MIN@JAC,MIN,JAC,,
17202-6840,RB,Frank,,Gore,12.65000025,12,6000,HOU@IND,IND,HOU,,
17202-6828,RB,Tim,,Hightower,6.641666412,12,5900,NO@TB,NO,TB,,
17202-33766,RB,Rob,,Kelley,8.480000305,10,5900,WAS@PHI,WAS,PHI,,
17202-14757,RB,Matt,,Asiata,7.5,12,5800,MIN@JAC,MIN,JAC,,
17202-11609,RB,James,,Starks,6.137499809,8,5700,SEA@GB,GB,SEA,,
17202-11864,RB,Chris,,Ivory,6.966666751,9,5700,MIN@JAC,JAC,MIN,Q,Hamstring
17202-7972,RB,Darren,,Sproles,8.924999873,12,5600,WAS@PHI,PHI,WAS,,
17202-14320,RB,Bilal,,Powell,7.025000254,12,5600,NYJ@SF,NYJ,SF,,
17202-54684,RB,Isaiah,,Crowell,11.15833282,12,5500,CIN@CLE,CLE,CIN,,
17202-45683,RB,Kapri,,Bibbs,3.424999952,8,5500,DEN@TEN,DEN,TEN,IR,Ankle
17202-27776,RB,Tevin,,Coleman,12.78888872,9,5400,ATL@LA,ATL,LA,,
17202-38509,RB,Wendell,,Smallwood,4.49090923,11,5400,WAS@PHI,PHI,WAS,,
17202-31061,RB,T.J.,,Yeldon,7.583333333,12,5300,MIN@JAC,JAC,MIN,,
17202-30237,RB,Mike,,Gillislee,7.954545455,11,5300,PIT@BUF,BUF,PIT,,
17202-24891,RB,Chris,,Thompson,6.974999746,12,5100,WAS@PHI,WAS,PHI,,
17202-31406,RB,Alfred,,Blue,2.65,10,5100,HOU@IND,HOU,IND,,
17202-39280,RB,Derrick,,Henry,5.840000153,10,5000,DEN@TEN,TEN,DEN,,
17202-25837,RB,Duke,,Johnson Jr.,7.883333206,12,4900,CIN@CLE,CLE,CIN,,
17202-29734,RB,Ty,,Montgomery,5.409090909,11,4800,SEA@GB,GB,SEA,,
17202-14643,RB,DuJuan,,Harris,5.25,6,4700,NYJ@SF,SF,NYJ,,
17202-22113,RB,Alfred,,Morris,3.075000127,12,4700,DAL@NYG,DAL,NYG,,
17202-32418,RB,Christine,,Michael,9.890909368,11,4700,SEA@GB,GB,SEA,,
17202-14336,RB,Jacquizz,,Rodgers,8.728571211,7,4600,NO@TB,TB,NO,,
17202-31871,RB,Charles,,Sims,9.949999809,4,4600,NO@TB,TB,NO,IR,Knee
17202-11425,RB,Ryan,,Mathews,10.35999985,10,4600,WAS@PHI,PHI,WAS,Q,Knee - mcl
